src,dest
Davis v. Bandemer,14th Amendment
Party of North Carolina v. Martin,Davis v. Bandemer
Gaffney v. Cummings,14th Amendment
Arizona State Legislature v. Arizona Independent Redistricting Commission,Baker v. Carr
Arizona State Legislature v. Arizona Independent Redistricting Commission,Wesberry v. Sanders
Arizona State Legislature v. Arizona Independent Redistricting Commission,Reynolds v. Simms
Shelby County v. Holder,Arizona State Legislature v. Arizona Independent Redistricting Commission
Arizona State Legislature v. Arizona Independent Redistricting Commission,Voting Rights Act
Hickenlooper v. Kerr,Arizona State Legislature v. Arizona Independent Redistricting Commission
Baker v. Carr,Voting Rights Act
Wesberry v. Sanders,Voting Rights Act
Reynolds v. Simms,Voting Rights Act
Harris v. Arizona Independent Redistricting Commission,Arizona State Legislature v. Arizona Independent Redistricting Commission
Reno v. Bossier Parish School Board,Voting Rights Act
Georgia v. Ashcroft,Voting Rights Act
Boerne v. Flores,Voting Rights Act
League of United Latin American Citizens v. Perry,Vieth v. Jubelirer
League of United Latin American Citizens v. Perry,Davis v. Bandemer
Gill v. Whitford,Vieth v. Jubelirer
Vieth v. Jubelirer,League of United Latin American Citizens v. Perry
Bush v. Vera,League of United Latin American Citizens v. Perry
Gaffney v. Cummings,14th Amendment
Baker v. Carr,Colegrove v. Green
Baker v. Carr,14th Amendment
Baker v. Carr,14th Amendment
Avery v. Midland County,Colegrove v. Green
Wesberry v. Sanders,14th Amendment
Wesberry v. Sanders,Reynolds v. Simms
Reynolds v. Simms,Baker v. Carr
Reynolds v. Simms,Alabama Legislative Black Caucus v. Alabama
Shelby County v. Holder,South Carolina v. Katzenbach
Shelby County v. Holder,Georgia v. United States
Shelby County v. Holder,City of Rome v. United States
Shelby County v. Holder,Lopez v. Monterey County
Harris v. Arizona Independent Redistricting Commission,14th Amendment
Reno v. Bossier Parish School Board,Voting Rights Act
Vieth v. Jubelirer,Davis v. Bandemer
