date,title,expanded,src
7/9/1868,14th Amendment,"Redistricting became mandatory as a matter of federal law after the 1962 Supreme Court decision in Baker v. Carr,1 which interpreted the 14th Amendment s Equal Protection Clause to require that political districts be equal in population so that one person s vote would not weigh more than a another person s vote who resides in separate a district with substantially less population than the first. For example, a voter in a political district with 100,000 residents will have 3 times more voting power to elect a representative than a voter in a district with 300,000 residents. The court s ruling is known as the  one man, one vote principle."" ",http://www.redistrictingonline.org/redistrictingprinciples.html
9/17/1787,"Article 1, Sec 2 of the U.S. Constitution",The census clause of the U.S. Constitution requires an actual enumeration of the country s population on a decennial basis for purposes of congressional reapportionment of seats among the states. The Supreme Court held in 19992 that reapportionment must be carried out using the Census Bureau s actual enumeration and not the statistically adjusted data that it also obtains. Whether or not this also applies to redistricting is still an open question but the Census Bureau and states have so far used the census actual enumeration data for redistricting purposes.  ,http://www.redistrictingonline.org/redistrictingprinciples.html
2/3/1870,15th Amendment,"The 15th Amendment guaranteed citizens the right to vote and protected that right from being abridged on account of race or color, it also specifically authorized congress to enforce it by enacting legislation. Accordingly, congress enacted the Voting Rights Act of 1965 at the height of the civil rights movement to aggressively enforce the amendment in states and localities that continued to deny African-Americans the voting franchise using state and local laws. ",http://www.redistrictingonline.org/redistrictingprinciples.html
3/1/1812,Massachusetts State Redistricting,"Gerry's plan of partisan redistricting is approved in the State of Massachusetts, unleasing a series of responses in political cartoons and press on the new term, ""gerrymandering.""",https://en.wikipedia.org/wiki/Newburyport_Herald
2/22/1889,Dakota Territory Split,"The Dakota territory was split into two states and then admitted to the union, in part, due to partisan redistricting.",https://en.wikipedia.org/wiki/Dakota_Territory
4/9/1866,Civil Rights Act 1866,,
8/6/1965,Voting Rights Act of 1965,,
6/17/1970,Voting Rights Act Extension,,
7/27/2006,25-Year Voting Rights Act Extension,,
6/22/2005,"Arizona Constitution Article 4, pt. 2,   1","The commission on appellate court appointees creates a pool of 25 nominees, ten from each of the two largest parties and five not from either of the two largest parties. The highest-ranking officer of the House appoints one from the pool, then the minority leader of the House appoints one, then the highest-ranking officer of the Senate appoints one, then the minority leader of the Senate appoints one. These four appoint a fifth from the pool, not a member of any party already represented on the commission, as chair. If the four deadlock, the commission on appellate court appointments appoints the chair.",
11/4/2008,California Constitution Article XXI,"A commission member shall be ineligible for a period of 10 years beginning from the date of appointment to hold elective public office at the federal, state, county, or city level in this State. A member of the commission shall be ineligible for a period of five years beginning from the date of appointment to hold appointive federal, state, or local public office, to serve as paid staff for, or as a paid consultant to, the Board of Equalization, the Congress, the Legislature, or any individual legislator, or to register as a federal, state or local lobbyist in this State. With the Passage of Proposition 11 in 2008, the process of redrawing California's state legislative districts was removed from state legislative authority and given to a newly established 14-member commission. The commission must include 5 Democrats, 5 Republicans, and 4 members from neither party. Government auditors are to select 60 registered voters from an applicant pool. Legislative leaders can reduce the pool; the auditors then are to pick eight commission members by lottery, and those commissioners pick six additional members for 14 total. For approval district boundaries need votes from three Democratic commissioners, three Republican commissioners, and three commissioners from neither party.",
11/7/1998,Hawaii Constitution Article IV,"No commission member may run for the legislature in the two elections following redistricting.President of the Senate selects two; Speaker of the House selects two. Members of each house belonging to the party or parties different from that of the president or the speaker shall designate one of their number for each house, and the two so designated shall each select two [more?] members of the commission. These eight select the ninth member, who is the chair.",
7/3/1980,"Idaho Constitution Article III,   2",Leaders of two largest political parties in each house of the legislature each designate one member; chairs of the two parties whose candidates for governor received the most votes in the last election each designate one member. No member may be an elected or appointed official in the state at the time of designation.,
1/1/1973,"Montana Constitution Article IV,   14","No member may be a public employee or official; members cannot run for public office in the two years after the completion of redistricting. Majority and minority leaders of both houses of the Legislature each select one member; those four select a fifth, who is the chair of the commission.",
12/8/1988,"New Jersey Constitution Article II, Sec. II[8] & Article IV, Sec. III[9]","Redistricting Commission: The commission has 13 members. The President of the Senate and Assembly Speaker each name two members; the minority leaders of both houses each name two members; and the state's Democratic and Republican party chairpersons each name two members. The 12 members then select a 13th ""tie-breaking"" member to chair of the commission; if they cannot agree on the 13th member, then each party submits a name to the state's Supreme Court, which then chooses one of the submissions as the 13th member.",
11/8/1983,"Washington Constitution  Article II,   43","No elected official and no person elected to legislative district, county, or state political party office may serve on the commission. Majority and minority leaders of the House and Senate each select one. These four select a non-voting fifth to chair the commission. If they fail to do so by January 1, 2001, the state Supreme Court will select the fifth by February 5, 2001. No commission member may be a public official.",
9/6/2014,Alaska Constitution Article 6,No member may be a public employee or official. Governor appoints two; president of the Senate appoints one; speaker of the House appoints one; chief justice of the Supreme Court appoints one. At least one member must be a resident of each judicial district.,
