id,code,name,districtdrawnby
1,AL,Alabama,Legislature Alone
2,AK,Alaska,Single District
4,AZ,Arizona,Independent Commission
5,AR,Arkansas,Legislature Alone
6,CA,California,Independent Commission
8,CO,Colorado,Legislature Alone
9,CT,Connecticut,Backup Commission
10,DE,Delaware,Single District
11,DC,District of Columbia,N/A
12,FL,Florida,Legislature Alone
13,GA,Georgia,Legislature Alone
15,HI,Hawaii,Politician Commission
16,ID,Idaho,Independent Commission
17,IL,Illinois,Legislature Alone
18,IN,Indiana,Backup Commission
19,IA,Iowa,Advisory Commission
20,KS,Kansas,Legislature Alone
21,KY,Kentucky,Legislature Alone
22,LA,Louisiana,Legislature Alone
23,ME,Maine,Advisory Commission
24,MD,Maryland,Legislature Alone
25,MA,Massachusetts,Legislature Alone
26,MI,Michigan,Legislature Alone
27,MN,Minnesota,Legislature Alone
28,MS,Mississippi,Legislature Alone
29,MO,Missouri,Legislature Alone
30,MT,Montana,Single District
31,NE,Nebraska,Legislature Alone
32,NV,Nevada,Legislature Alone
33,NH,New Hampshire,Legislature Alone
34,NJ,New Jersey,Politician Commission
35,NM,New Mexico,Legislature Alone
36,NY,New York,Advisory Commission
37,NC,North Carolina,Legislature Alone
38,ND,North Dakota,Single District
39,OH,Ohio,Advisory Commission
40,OK,Oklahoma,Legislature Alone
41,OR,Oregon,Legislature Alone
42,PA,Pennsylvania,Legislature Alone
44,RI,Rhode Island,Advisory Commission
45,SC,South Carolina,Legislature Alone
46,SD,South Dakota,Single District
47,TN,Tennessee,Legislature Alone
48,TX,Texas,Legislature Alone
49,UT,Utah,Legislature Alone
50,VT,Vermont,Single District
51,VA,Virginia,Advisory Commission
53,WA,Washington,Independent Commission
54,WV,West Virginia,Legislature Alone
55,WI,Wisconsin,Legislature Alone
56,WY,Wyoming,Single District
60,AS,America Samoa,N/A
64,FM,Federated States of Micronesia,N/A
66,GU,Guam,N/A
68,MH,Marshall Islands,N/A
69,MP,Northern Mariana Islands,N/A
70,PW,Palau,N/A
72,PR,Puerto Rico,N/A
74,UM,U.S. Minor Outlying Islands,N/A
78,VI,Virgin Islands of the United States,N/A
